"id","game_title","year"
"380","Battlefield: Bad Company 2","2010"
"381","Guitar Hero: On Tour","2008"
"383","Far Cry 3","2012"
"384","Monster Hunter 4","2013"
"385","Borderlands","2009"
"386","Tekken 4","2002"
"388","LittleBigPlanet 2","2011"
"389","Grand Theft Auto 2","1998"
"390","Final Fantasy III","1994"
"391","Spider-Man 2","2004"
"392","F-1 Race","1990"
"393","FIFA Soccer 2003","2002"
"394","Crash Bash","2000"
"395","LEGO Batman: The Videogame","2008"
"396","Metal Gear Solid V: The Phantom Pain","2015"
"397","The Legend of Zelda: Spirit Tracks","2009"
"398","WWF War Zone","1998"
"399","The Legend of Zelda: Majora's Mask","2000"
"400","Professor Layton and the Unwound Future","2008"
"401","Rugrats: Search For Reptar","1998"
"403","English Training: Have Fun Improving Your Skills!","2006"
"404","James Bond 007: Nightfire","2002"
"405","Ratchet & Clank","2002"
"406","Mario Party 9","2012"
"407","Star Wars Episode III: Revenge of the Sith","2005"
"408","Max Payne","2001"
"409","The Lord of the Rings: The Return of the King","2003"
"410","Assassin's Creed Syndicate","2015"
"412","True Crime: Streets of LA","2003"
"413","Wii Music","2008"
"414","Gran Turismo (PSP)","2009"
"415","Monster Hunter X","2015"
"416","Tekken","1995"
"418","L.A. Noire","2011"
"419","Madden NFL 16","2015"
"420","Yokai Watch 2 Ganso/Honke","2014"
"421","007: Tomorrow Never Dies","1999"
"422","Baseball","1983"
"423","Killer Instinct","1995"
"424","WWF SmackDown! 2: Know Your Role","2000"
"425","Crisis Core: Final Fantasy VII","2007"
"426","God of War: Chains of Olympus","2008"
"427","Dragon Quest VI: Maboroshi no Daichi","1995"
"428","Dance Central","2010"
"429","Enter the Matrix","2003"
"430","Super Mario Maker","2015"
"433","Rhythm Heaven","2008"
"434","Ace Combat 04: Shattered Skies","2001"
"435","Club Penguin: Elite Penguin Force","2008"
"436","Animal Crossing","2001"
"438","Sonic Rush","2005"
"439","Resident Evil 6","2012"
"440","Halo: The Master Chief Collection","2014"
"441","FIFA Soccer 08","2007"
"442","Spider-Man","2000"
"443","Need for Speed III: Hot Pursuit","1998"
"444","Star Wars Episode I Racer","1999"
"445","Personal Trainer: Cooking","2006"
"446","The Elder Scrolls IV: Oblivion","2007"
"447","Dragon Warrior IV","1990"
"448","Heavy Rain","2010"
"449","Mass Effect 2","2010"
"451","Dragon Ball Z: Budokai","2002"
"452","Madden NFL 2002","2001"
"453","World Class Track Meet","1986"
"454","Borderlands 2","2012"
"455","The Legend of Zelda: A Link Between Worlds","2013"
"456","Donkey Kong","1994"
"457","The Sims: Vacation","2002"
"458","Mass Effect 3","2012"
"459","Kung Fu Panda","2008"
"461","Epic Mickey","2010"
"462","Saints Row 2","2008"
"463","Rayman","1995"
"464","Killzone 2","2009"
"465","Tom Clancy's Splinter Cell","2002"
"466","Mike Tyson's Punch-Out!!","1987"
"467","WWE SmackDown! Shut Your Mouth","2002"
"468","Gears of War: Ultimate Edition","2015"
"469","NBA 2K13","2012"
"470","Dragon Ball Z: Budokai Tenkaichi 3","2007"
"472","Middle-Earth: Shadow of Mordor","2014"
"473","Star Fox","1993"
"474","The Sims: Livin Large","2000"
"475","World Soccer Winning Eleven 6 International","2002"
"476","Devil May Cry","2001"
"477","Animal Crossing: Happy Home Designer","2015"
"479","The Sims 4","2014"
"480","Star Wars: The Old Republic","2011"
"481","Sonic Heroes","2003"
"482","Kirby Super Star Ultra","2008"
"483","Hitman 2: Silent Assassin","2002"
